Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Generate_emotion,tips
We?re just celebrating that Joey got his health insurance back.,Phoebe,joy,positive,14,joy,"The reason for the emotion of joy in Phoebe could be due to celebrating Joey getting his health insurance back, which is a positive and relieving event for them."
"Oh, all right.",Chandler,neutral,neutral,14,neutral,"The reason for the neutral emotion could be that Chandler is resigned to the situation and accepting of it, as indicated by his response."
"Yeah! Sure! Yep!  Oh, y'know what? If I heard a shot right now, I'd throw my body on you.",Phoebe,joy,positive,15,joy,"The reason for the emotion of joy in the current utterance is likely due to the speaker's playful and humorous intention to express excitement, which may lead the listener to react with laughter or amusement."
Oh yeah? Well maybe you and I should take a walk through a bad neighborhood.,Gary,joy,positive,15,anger,The emotion of anger in the current utterance may be fueled by the speaker's attempt to provoke or intimidate the listener by suggesting a walk through a bad neighborhood. The listener's reaction of nervously offering to protect the speaker in case of danger could further escalate the speaker's anger.
Okay!,Phoebe,joy,positive,15,joy,The emotion of joy in Phoebe's utterance may be due to her excitement or enthusiasm about the suggestion being made.
Bye!,Phoebe,neutral,neutral,15,joy,"The emotion of joy in the utterance ""Bye!"" could be due to the speaker feeling happy or satisfied with the interaction, while the listener's acknowledgment or acceptance in response to ""Okay!"" may have contributed to this positive emotion."
Bye!,Joey,neutral,neutral,15,joy,"The reason for Joey's joy could be that he felt acknowledged and appreciated by Phoebe's reciprocal farewell, leading to a positive emotional response."
Cut it out Ross! I hate to have to save your life and kick your ass in the same day!,Joey,anger,negative,15,anger,The reason for Joey's anger in this situation could be due to feeling overwhelmed or frustrated by having to constantly save Ross and deal with his antics. This could lead to Joey expressing his frustration through anger in this current utterance.
"Hey, Joey, could you pass the cheese?",Monica,neutral,neutral,16,neutral,"Reason for the neutral emotion: The speaker's request for passing the cheese is a simple and common interaction, which may not evoke strong emotions. The listener's expected reaction of passing the cheese is a typical response in this situation, leading to a neutral emotional response from the speaker."
"Listen uh, I?d prefer it if you didn?t call me Joey.",Joey,neutral,neutral,16,anger,"The reason for Joey's anger could be that he has expressed a preference not to be called Joey, but Monica continues to do so, possibly disregarding his feelings or boundaries."
"Since I don?t know anyone here, I thought it?d be cool to try out a cool work nickname.",Joey,neutral,neutral,16,neutral,The emotion of neutrality in the current utterance could be due to the speaker trying to navigate a new social environment and establish boundaries without causing conflict. The speaker may be open to trying out a new work nickname but also wants to assert their preference for what they are called.
"Hey, dragon! Here?s your tips from Monday and Tuesday.",A Waiter,neutral,neutral,16,joy,"The emotion of joy in the waiter could be due to the positive and friendly interaction with Joey, as well as the feeling of camaraderie and connection that comes from giving a work nickname."
There?s like-there?s like 300 bucks in this one!,Joey,surprise,negative,16,surprise,The reason for the emotion of surprise in this context is likely due to the unexpected amount of money (300 bucks) that Joey found in the tip. The speaker's intention to inform Joey about the tip amount and Joey's possible reaction of surprise or excitement contribute to this feeling of surprise.
"Yeah, people get pretty generous around the holidays. And it never hurts to wear tight trousers.",The Waiter,neutral,neutral,16,joy,"The reason for the emotion of joy in this conversation is likely due to the surprise and excitement expressed by the speaker at the generous tip, which could lead to a positive and grateful reaction from the listener."
Could the waiters gather around to hear tonight?s specials?,Monica,neutral,neutral,16,neutral,"The emotion of the speaker in the preUtterance may be humor or light-heartedness, as they are making a playful comment about wearing tight trousers. This could lead to a positive reaction from the listener, such as amusement or agreement, contributing to the overall light and friendly atmosphere of the conversation."
"Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bag?Why is nobody writing these down?",Monica,neutral,neutral,16,surprise,"The reason for the surprise emotion could be that Monica is surprised that nobody is writing down the specials she is announcing, despite her clear intention for the waiters to do so."
Because we can remember them.,The Waiter,neutral,neutral,16,joy,"The reason for the emotion of frustration or annoyance in the speaker may be due to the concern that their order may be incorrect or forgotten by the waiter, as indicated by the listener's confusion or concern in their reaction."
Because your all gonna make up fake specials and make me cook them like you did the other night?,Monica,anger,negative,16,anger,"The reason for Monica's anger could be due to feeling manipulated or taken advantage of by the others, as indicated by her accusation of them making up fake specials and forcing her to cook them."
Hey. When you guys were kids and you played,Ross,neutral,neutral,17,neutral,The emotion of curiosity in Ross may stem from a desire to connect with his friends on a nostalgic level and possibly bond over shared childhood memories. This curiosity could lead to a conversation filled with reminiscing and storytelling among the group.
I was always Joanne.,Monica,neutral,neutral,17,neutral,"The reason for Monica's neutral emotion could be that she is reflecting on her childhood identity as Joanne, which may not necessarily evoke strong positive or negative feelings."
"Question. Was ah, ?Egg the Gellers!? the war cry of your neighbourhood?",Joey,neutral,neutral,17,joy,"The emotion of joy in this conversation may be due to the speaker reminiscing about a funny memory from their childhood neighborhood, and the listener's potential reaction of laughter or sharing similar memories adds to the joyful atmosphere."
Ewww! Oh! It?s the Mattress King!,Phoebe,disgust,negative,17,disgust,"The emotion of disgust in Phoebe's utterance may be due to her reaction to the Mattress King, possibly indicating that she finds him repulsive or unpleasant. This could be influenced by her intention to express her distaste humorously, leading to a possible reaction of amusement or agreement from the listener."
Don?t look honey. Change the channel! Change the channel!,Chandler,disgust,negative,17,joy,The emotion of joy in Chandler's utterance is likely due to the humor in the situation of trying to avoid seeing something unpleasant on TV and the urgency in his request to change the channel.
"Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine.",Janice,joy,positive,17,joy,"The emotion of joy in Janice's utterance could be due to her anticipation of gaining wealth and power through a divorce settlement. Her intention to claim half of the kingdom suggests a desire for financial independence and a sense of empowerment. The reaction of Chandler in the preUtterance, trying to divert Janice's attention, may contribute to Janice's joy as she sees herself as taking control of her own destiny."
What a wank!,Chandler,anger,negative,17,anger,"The reason for Chandler's anger may be due to feeling frustrated or annoyed by the situation or person being discussed, as indicated by his statement ""What a wank!"" and the context of the conversation with Janice."
"Oh, I cannot believe he?s using our divorce to sell mattresses.",Janice,anger,negative,17,anger,"The reason for the emotion of anger in this situation is likely due to feeling betrayed or disrespected by the ex-partner's actions of using the divorce to sell mattresses. The speaker may feel hurt, frustrated, and possibly humiliated by this exploitation of their personal situation for financial gain."
I know!,Monica,anger,negative,17,anger,The speaker's anger may be fueled by feeling exploited or disrespected by someone using their personal life for commercial gain. The listener may respond with empathy or validation of the speaker's feelings of betrayal or invasion of privacy.
"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.",Monica,anger,negative,17,joy,The reason for the joy emotion in this utterance could be attributed to the speaker's excitement and enthusiasm about the affordable price of the pillow top queen set. The positive reaction from the listener may have also contributed to the speaker feeling joyful.
And I?m appalled for you by the way.,Monica,anger,negative,17,anger,The speaker's anger may be due to feeling appalled for the listener and possibly feeling frustrated by their lack of empathy towards the listener's situation.
"You had to do it, didn?t you? You couldn?t just leave it alone.",Rachel,sadness,negative,17,sadness,The sadness in Rachel's emotion may be due to feeling disappointed in the listener's actions and possibly feeling regretful or frustrated that they couldn't resist getting involved.
Four percent. Okay. I tip more than that when there?s a bug in my food.,Ross,disgust,negative,17,disgust,"The emotion of disgust in Ross's utterance may be due to his frustration with the low tip percentage mentioned, which could also contribute to the listener's possible annoyance or resignation in response to Rachel's comment."
"Ross, tonight was about the two of you getting along.  Oh, would you just see my chiropractor, already.",Rachel,anger,negative,17,anger,"The reason for Rachel's anger towards Ross may be due to her frustration with his unwillingness to see her chiropractor, despite her efforts to encourage him to do so for the sake of their relationship."
"Yeah, I?m gonna go to a doctor who went to school in a mini-mall.",Ross,disgust,negative,17,neutral,The emotion of neutrality in Ross's statement may be due to his nonchalant attitude towards seeking medical help and his preference for a doctor from an unconventional location. His intention to go to a doctor in a mini-mall may indicate a lack of concern for traditional medical practices.
"Hey Pheebs, what are you doing?",Ross,neutral,neutral,17,neutral,"The emotion of neutral in Ross's current utterance could be due to the casual nature of his question to Phoebe about what she is doing. It seems like a simple, everyday conversation without any strong emotions attached."
"I?m, I?m freaking out!",Phoebe,fear,negative,17,fear,"The reason for Phoebe's fear could be due to a stressful or overwhelming situation she is facing, which may be causing her to freak out. Ross's intention to ask what she is doing could be to show concern and offer support, which may prompt Phoebe to seek comfort or explanation from him."
Monica kinda trusted me with something and she shouldn?t have!,Phoebe,fear,negative,17,surprise,"The speaker is likely feeling anxious or worried because they are ""freaking out"" about something, and the listener may respond with concern or reassurance to help alleviate their distress."
"All right, I haven?t lived here in a while, so I have to ask you something.",Phoebe,neutral,neutral,17,neutral,The emotion of neutral in the current utterance may be due to Phoebe feeling unsure or hesitant about asking for help or advice from the listener regarding Monica's trust.
Does Monica still turn on the lights in her bedroom?,Phoebe,neutral,neutral,17,neutral,"The neutral emotion in this context may be due to the speaker simply asking a question about Monica's behavior without any strong emotional attachment or significance. The speaker's intention is to gather information, and the listener's reaction may be similarly neutral or inquisitive."
Um. yeah.,Rachel,neutral,neutral,17,neutral,"The emotion of neutral in Rachel's utterance may suggest a lack of strong feelings or indifference towards the topic being discussed. This could be due to Rachel not having a strong opinion or personal connection to Monica's behavior with the lights in her bedroom, as indicated by her neutral response."
I am,Phoebe,neutral,neutral,17,neutral,"The reason for Phoebe's neutral emotion could be that she is simply stating a fact or providing information, without any strong emotional attachment. This is supported by Rachel's response of agreement or acknowledgment in the preUtterance."
"All right, look, here?s the bottom line Ross, this is fixable, if we act fast, okay.",Rachel,neutral,neutral,17,neutral,The neutral emotion in Rachel's statement could be due to her focus on problem-solving and urgency in resolving the situation with Ross. She is trying to convey a sense of calm and rationality in order to encourage Ross to take action quickly.
"So, I?ll invite him to brunch tomorrow and you can make nice.",Rachel,neutral,neutral,17,joy,The reason for the emotion of joy in Rachel's utterance could be because she is excited about potentially resolving the situation with Ross and working together towards a solution.
"Look, honey, I have tried to make nice, it doesn?t work.",Ross,anger,negative,17,anger,The reason for Ross's anger could be his frustration with the situation and feeling like his efforts to make nice have been unsuccessful. This could lead to him feeling overwhelmed and unwilling to continue trying.
"Okay, look, Ross, I realise that my Father is difficult, but that?s why you have got to be the bigger man here.",Rachel,neutral,neutral,17,neutral,The reason for Ross's frustration may be due to feeling helpless or defeated in trying to improve his relationship with Rachel's difficult father. This could lead to a sense of inadequacy or disappointment in not being able to successfully navigate the challenging situation.
"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn?t make any difference, except that I could pick your Father up and say ?Like me!",Ross,anger,negative,17,anger,"The reason for Ross's anger could be due to feeling belittled or challenged by Rachel's suggestion to be the ""bigger man"" in dealing with her difficult father. Ross may feel frustrated or defensive because he perceives Rachel's comment as undermining his ability to handle the situation effectively."
Like me tiny doctor!?,Ross,anger,negative,17,joy,"The reason for the emotion of joy in Ross's current utterance ""Like me tiny doctor!?"" may be due to his playful and lighthearted teasing of the listener, as well as his sense of humor and enjoyment in the interaction."
"Okay, well can?t you just try it one more time Ross? For me? For me?",Rachel,sadness,negative,17,sadness,"The reason for the emotion of sadness in Rachel's utterance could be due to her pleading with Ross to try something one more time for her, indicating a sense of desperation or vulnerability in her request. This emotion may stem from a desire for Ross to understand and empathize with her feelings."
"Rachel one brunch is not gonna solve anything. You gotta face it, okay we?re never gonna get along.",Ross,anger,negative,17,anger,"The reason for Ross's anger may be due to his frustration and belief that he and Rachel will never be able to get along, despite her plea for one more chance. This feeling of hopelessness in their relationship may be causing him to express anger towards Rachel."
"Okay, well you are just gonna have too, okay.",Rachel,anger,negative,17,anger,The emotion of anger in Rachel may be due to feeling frustrated and not being able to get along with Ross. Her intention to assert herself and face the issue may be causing this emotion.
"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I don?t wanna have to have a separate room for you too!",Rachel,anger,negative,17,anger,The reason for Rachel's anger could be due to feeling overwhelmed by conflict and wanting to establish boundaries with the listener. The listener's reaction of potentially feeling defensive or understanding could further exacerbate Rachel's frustration.
"Okay, okay, okay.  I?ll get the bagels.",Ross,neutral,neutral,17,joy,The emotion of frustration in the preUtterance may be caused by the speaker feeling overwhelmed by the listener's behavior and the ongoing conflict between their parents. The speaker may be seeking to establish boundaries and express their feelings of exasperation.
"Okay now Joey, y'know that since you're returning all of this stuff right after the audition you're gonna have to wear underwear?",Rachel,neutral,neutral,18,neutral,"The reason for the neutral emotion in this context could be because the reminder to wear underwear is a practical and straightforward request, not eliciting strong emotions from either the speaker or the listener."
"All right, then you'd better show me some of that too then.",Joey,neutral,neutral,18,joy,"The reason for the emotion of joy in Joey's response could be his amusement at Rachel's reminder about wearing underwear, as well as his excitement about potentially showing off some of his own style or fashion choices."
"Okay, it's missing something. Ooh, I know! Umm, okay.",Rachel,neutral,neutral,18,joy,"The reason for Rachel's joy could be that she has come up with an idea to improve something they are working on, which could lead to a positive outcome."
Really? A purse?,Joey,surprise,positive,19,surprise,"The emotion of surprise may be caused by the unexpected or unconventional choice of a purse, leading the speaker to express disbelief or confusion."
It's not a purse! It's a shoulder bag.,Rachel,anger,negative,20,anger,The reason for Rachel's anger could be due to feeling frustrated or defensive about the listener's misunderstanding of the bag as a purse.
It looks like a women's purse.,Joey,neutral,neutral,20,neutral,The reason for the neutral emotion in Joey's statement may be because he is simply observing and commenting on the appearance of the item without any strong feelings attached.
"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look,",Rachel,neutral,neutral,20,joy,"The speaker's joy emotion may be due to their excitement about convincing the listener that the item in question is fashionable and worn by men, despite the listener's initial skepticism."
"See look,",Joey,neutral,neutral,20,neutral,"The emotion in this chat history is likely neutral because the speaker is simply presenting evidence to support her point, and the listener's reaction is expected to be one of consideration rather than strong emotional response."
Exactly! Unisex!,Rachel,neutral,neutral,20,joy,"The reason for the emotion of joy in Rachel's utterance ""Exactly! Unisex!"" could be because she is excited about the idea of unisex clothing, which aligns with her intention to express agreement with the concept. This could lead to a positive reaction from the listener, who may also feel happy or intrigued by the idea of unisex clothing."
Maybe you need sex.,Joey,neutral,neutral,20,neutral,"The emotion of neutral in Joey's utterance could be due to the casual and straightforward nature of his suggestion, without any strong emotional undertones."
No! No Joey! U-N-I-sex.,Rachel,joy,positive,20,neutral,"The reason for the neutral emotion in Rachel's utterance could be due to her trying to clarify the concept of unisex to Joey in a straightforward manner, without showing strong emotions like frustration or anger."
"Well, I ain't gonna say no to that.",Joey,neutral,neutral,20,neutral,The emotion of neutrality in Joey's response may be due to his casual and nonchalant attitude towards the situation. He is simply agreeing with Rachel's suggestion without much thought or emotion attached to it.
"So, um, have you told your parents?",Phoebe,neutral,neutral,21,neutral,The emotion of neutrality in this context may be due to the speaker's uncertainty or hesitance in bringing up the topic of telling parents. Their intention could be to inquire about the listener's actions or feelings towards disclosing information to their parents. The listener's reaction may vary depending on their own experiences and comfort level with discussing this topic.
"No, but it'll be OK, they're pretty cool, my brother's straight so. . .",Duncan,neutral,neutral,21,neutral,"The speaker's neutral emotion may be due to feeling reassured by the listener's question about telling their parents, as it implies a level of understanding and support."
Here you go.,Phoebe,neutral,neutral,21,joy,"The emotion of joy in Phoebe's utterance ""Here you go"" may be due to the act of giving something to someone, which can bring a sense of satisfaction or happiness. Additionally, the positive reaction from the listener, such as gratitude or appreciation, could also contribute to Phoebe's joy in that moment."
"You know what, I just have one more question, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who.",Phoebe,neutral,neutral,21,sadness,The speaker's emotion of sadness may be due to feeling regret about not being there sooner and wondering about what could have been different if they had been around. The listener's reaction of empathy or understanding may further validate the speaker's emotions and provide support in processing those feelings.
"no, um, I'm sorry, don't tell me, I don't think either answer would make me feel better.",Phoebe,sadness,negative,21,sadness,The reason for Phoebe's sadness could be due to her regret over a missed opportunity or the possibility of not being chosen by the listener. This is supported by her question in the preUtterance about whether she would have been chosen if things had been different.
I love you Phoebe.,Duncan,joy,positive,21,joy,"The emotion of joy in Duncan may be due to the act of expressing his love for Phoebe, while Phoebe's uncertainty or discomfort in her reaction may contribute to Duncan's joy as he may interpret it as a positive response."
So your brother's straigh huh? Seriously.,Phoebe,surprise,positive,21,surprise,"The emotion of surprise in Phoebe's response may be due to the unexpected confession of love from Duncan, leading to a sudden shift in the conversation and catching her off guard."
Hey!,Chandler,joy,positive,22,joy,"The reason for the emotion of joy in Chandler could be due to his intention of greeting the listener or getting their attention, which could lead to a positive reaction from the listener, such as responding with joy or surprise."
Hi.,Monica,neutral,neutral,22,neutral,"The neutral emotion in Monica's greeting could indicate a neutral or casual attitude towards the conversation. Her intention may be to initiate a friendly interaction, while Chandler's response suggests a similar intention to engage in a friendly conversation."
"I just came over to drop off?nothing. So that weekend kinda sucked, huh?",Chandler,neutral,neutral,22,sadness,The reason for Chandler's sadness may be due to feeling let down by the weekend and possibly seeking comfort or understanding from Monica.
"Yeah, it did.",Monica,joy,positive,22,sadness,"The reason for Monica's sadness could be that she is reflecting on a disappointing or unpleasant weekend, as mentioned by Chandler in the preUtterance. This could have triggered her emotions and led to her expressing sadness in response."
"So, I guess this is over.",Chandler,sadness,negative,22,sadness,"The emotion of sadness in Chandler could be due to the confirmation of the end of the relationship by Monica, leading to feelings of loss and disappointment."
What?,Monica,neutral,neutral,22,surprise,"The speaker may be feeling disappointed or resigned because they may have expected the relationship to continue, while the listener may feel surprised or confused about the sudden ending of the situation."
"Well, y'know, you and me, it had to end sometime.",Chandler,sadness,negative,22,sadness,"The reason for the sadness emotion could be due to the realization that the relationship had to come to an end, leading to feelings of loss and disappointment. The speaker's intention to express acceptance may also contribute to the sadness, as it signifies a difficult but necessary decision. The listener's reaction of confusion or surprise may further amplify the speaker's feelings of sadness."
"Why, exactly?",Monica,surprise,negative,22,surprise,The reason for Monica's surprise emotion could be due to Chandler's unexpected revelation that their relationship had to end sometime. This may have caught her off guard and led to her feeling surprised by his explanation.
"Because of the weekend, we had a fight.",Chandler,sadness,negative,22,sadness,"The reason for Chandler's sadness may be due to the fight that occurred over the weekend, causing him to feel regret or disappointment. Monica's question may have prompted him to reflect on the situation, leading to his emotional response."
Chandler that's crazy!,Monica,surprise,positive,22,surprise,The reason for the emotion of surprise in Monica's response could be due to the unexpected or unusual nature of Chandler attributing their fight to the weekend. It may have caught her off guard and led to her surprise reaction.
If you give up every time you'd have a fight with someone you'd never be with anyone longer than?Ohhh!,Monica,anger,negative,22,joy,The reason for the emotion of joy in Monica's statement could be due to her playful challenge to Chandler and the potential for amusement in their conversation.
"So, this isn't over?",Chandler,neutral,neutral,22,joy,"The reason for the emotion of joy in Chandler's utterance could be due to the possibility of the situation not being over, indicating hope or excitement for a potential continuation or resolution."
You are so cute!,Monica,joy,positive,22,joy,The emotion of joy in Monica's utterance may be a result of feeling flattered and happy about Chandler's cuteness. Her intention could be to compliment him and make him feel good. Chandler's reaction in the preUtterance of seeking clarification or reassurance may have further fueled Monica's joy as it shows he values her opinion and wants to continue the interaction.
No.,Monica,joy,positive,22,sadness,"The reason for Monica's sadness may be due to a contrast between the positive emotion expressed in the preUtterance (affection or admiration) and the negative emotion in the current utterance (sadness), indicating a shift in mood or circumstances."
"No, it was a fight.",Monica,neutral,neutral,22,sadness,"The reason for Monica's sadness could be that she is recounting a past fight, which may bring up negative emotions and memories for her. Her denial in the preUtterance could indicate that she is still processing and feeling the effects of the fight. The listener may react with empathy or concern for Monica's emotional state."
You deal with it and move on!,Monica,joy,positive,22,joy,"The reason for Monica's joy in her current utterance ""You deal with it and move on!"" could be because she feels empowered and confident in her advice to the listener. This is supported by her assertive intention in the preUtterance and the potential for the listener to agree with her advice and take action."
It's nothing to freak out about.,Monica,neutral,neutral,22,joy,"The reason for the joy emotion in Monica's utterance could be because she is trying to reassure the listener and encourage them to handle the situation calmly, which may lead to a positive outcome. This positive intention and reaction from the listener could be contributing to Monica's joy."
Really? Okay. Great!,Chandler,joy,positive,22,joy,"The reason for the joy emotion could be that Chandler is excited or happy about the news or information he received. This could be reflected in his intention to express enthusiasm or positivity, leading to a positive reaction from the listener."
"Ohh, welcome to an adult relationship!",Monica,joy,positive,22,joy,"The speaker's joy in the current utterance may be due to the excitement of entering a new phase in their relationship, while the listener's positive reaction in the preUtterance may have contributed to this joyful response."
We're in a relationship?,Chandler,surprise,negative,22,surprise,"The reason for the surprise emotion in Chandler's utterance may be due to the unexpected realization of being in a relationship, as pointed out humorously by Monica in the preUtterance."
I'm afraid so.,Monica,neutral,neutral,22,neutral,"Chandler's possible surprise or confusion could be due to a lack of clarity or communication about their relationship status, leading to uncertainty. Monica's confirmation of their relationship status may be in response to Chandler's confusion, aiming to provide clarity and reassurance."
Okay.,Chandler,neutral,neutral,22,neutral,"The neutral emotion in Chandler's utterance may indicate a sense of acceptance or willingness to proceed with the conversation, as Monica's previous statement may have set the tone for a serious or important discussion."
Hi!,Rachel,joy,positive,23,joy,"Reason for emotion: The emotion of joy in Rachel's greeting could be due to her desire to connect with someone in a positive and friendly manner, and she may be feeling happy and excited to start a conversation."
So you like the short hair better.,Danny,neutral,neutral,23,neutral,The emotion of neutral in Danny's utterance could be due to him simply asking a question about Rachel's preference without any strong feelings attached to it.
What? Yeti?I mean Danny?,Rachel,neutral,neutral,23,surprise,"The emotion of surprise in response to the mention of a Yeti instead of Danny may be due to the unexpected or humorous nature of the comment, leading to a playful and lighthearted reaction from the listener."
Can I tell you a little secret?,Phoebe,neutral,neutral,24,neutral,"Reason for the emotion of neutrality: 
The speaker may be unsure or hesitant about sharing the secret, leading to a neutral emotion. The listener's curiosity or interest may also contribute to the speaker's neutral emotion, as they may be anticipating the listener's reaction."
Yeah!,Rachel,joy,positive,24,joy,The reason for the emotion of joy in Rachel's utterance could be that she is excited about whatever secret Phoebe is about to share with her.
I want to keep one.,Phoebe,neutral,neutral,24,neutral,"The emotion of neutrality in Phoebe's statement ""I want to keep one"" may indicate a calm and nonchalant attitude towards the situation. Phoebe's intention to keep one item suggests a desire for possession or attachment, while Rachel's enthusiastic agreement (""Yeah!"") could further validate Phoebe's decision."
"Ohh, I'm gonna be on the news!",Rachel,joy,positive,24,joy,The reason for Rachel's joy could be due to the excitement of being on the news and the attention and recognition that comes with it.
What? Honey.,Monica,neutral,neutral,25,neutral,"The emotion of confusion or surprise in Monica's utterance ""What? Honey."" could be due to a lack of understanding or unexpected information from the listener. The listener may react by providing further context or clarification to address Monica's confusion."
"Oh, I am, my side still hurts from when you crashed into me yesterday.",Rachel,neutral,neutral,25,sadness,"The reason for Rachel's sadness could be due to the physical pain she is experiencing from being crashed into by the listener. This could lead to feelings of discomfort and vulnerability, prompting her to express her emotions to the listener."
"Oh God, I?m so sorry.",Monica,sadness,negative,25,sadness,"The reason for Monica's sadness could be her realization of causing harm to Rachel and her genuine apology for it, as seen in her intention to express regret and seek forgiveness."
I know.,Rachel,neutral,neutral,25,neutral,The emotion of neutral in Rachel's statement may be due to her acknowledging Monica's apology and expressing understanding without showing a strong emotional response.
Ow!!,Rachel,anger,negative,25,pain,The reason for Rachel's pain emotion could be due to physical injury or discomfort mentioned in the current utterance.
Oh God!,Monica,surprise,negative,25,surprise,"The reason for Monica's surprise could be due to the sudden exclamation of pain from Rachel, indicating that she was caught off guard by Rachel's unexpected reaction."
"Hey, you guys! Guess what?",Ross,joy,positive,25,joy,"The emotion of joy in the current utterance may be due to the speaker having exciting news to share, while the listener's exasperation or annoyance in the preUtterance could be a result of the speaker's frequent enthusiasm or excitement."
Got a job on a river boat?,Rachel,neutral,neutral,25,joy,"The reason for the joy emotion in Rachel's utterance could be due to the excitement of sharing her new job on a river boat with the listener, Ross. Ross's enthusiastic reaction may have also contributed to Rachel's joy."
"Y'know what I didn?t wear this suit for a year because you hated it. Well, guess what? You?re not my girlfriend anymore so...",Ross,anger,negative,25,anger,"The reason for Ross's anger could be due to feeling unappreciated or controlled by Rachel in the past, and now he is expressing his frustration and asserting his independence."
"Oh I see, so this suit is making a point.",Rachel,neutral,neutral,25,neutral,The emotion of neutrality in Rachel's utterance may be due to her processing the revelation from Ross and trying to understand his perspective and assertiveness.
"Now that you?re on you?re own, you?re free to look as stupid as you like.",Rachel,anger,negative,25,anger,"The emotion of anger in the current utterance may be due to the speaker's intention to mock or criticize the listener, leading the listener to feel offended or defensive in response."
You like it right?,Ross,neutral,neutral,25,joy,"The emotion of joy in Ross could be due to Rachel's teasing comment making him feel happy and amused, possibly because he enjoys their playful banter."
Oh absolutely. I like it even more on you than I did on Colonel Sanders.  Ross! Ross! I?m kidding!,Monica,neutral,neutral,25,joy,The emotion of joy in Monica's utterance is likely due to her playful teasing of Ross and the humor in her joke about his outfit. Ross's potential reaction of laughter or playing along with the joke may contribute to Monica's joy in the situation.
"Yeah, come here!",Rachel,neutral,neutral,25,joy,"The reason for the emotion of joy in Rachel's utterance ""Yeah, come here!"" is likely due to the excitement of wanting someone to come closer to her. This emotion could also be influenced by the positive interaction and playful banter with the other characters, contributing to a light-hearted and joyful atmosphere."
What-what was it you were gonna tell us?,Monica,neutral,neutral,25,joy,"The reason for the joy emotion in Monica's utterance could be the anticipation of sharing exciting news or information with the listener, and the positive reaction from the listener, Rachel, who is eager to hear what Monica has to say."
Yeah. Oh! Was how you invented the cotton gin?!,Rachel,neutral,neutral,25,joy,"The emotion of joy in Rachel's utterance could be due to her excitement or curiosity about learning how the cotton gin was invented, which reflects her positive reaction and interest in the topic."
"Okay, good bye!",Ross,anger,negative,25,anger,The emotion of anger in Ross's goodbye may be due to feeling irritated or annoyed by the conversation with Rachel and wanting to end it abruptly.
Hey I got one! I got one!,Joey,joy,positive,26,joy,The reason for Joey's joy in finding something is likely due to a sense of accomplishment or excitement about what he has discovered. The listener's potential curiosity or excitement in response may further validate Joey's feelings of joy.
Hi!,Man,joy,positive,27,joy,Reason for the emotion of joy: The speaker's intention to greet someone in a positive manner and initiate a friendly conversation likely led to the feeling of joy. The listener's possible reaction of responding with joy and engaging in conversation could also contribute to the speaker's joyful emotion.
Hi.,Phoebe,neutral,neutral,27,neutral,"The reason for the neutral emotion in Phoebe's greeting could be that she is simply initiating a conversation and may not have any strong feelings or intentions behind it. The neutral response from the listener could also contribute to Phoebe's neutral emotion, as it doesn't elicit a strong emotional reaction from her."
"Oh uh, up or down?",Man,neutral,neutral,28,neutral,"The neutral emotion in this context could be due to the speaker simply asking for directions or preferences without any strong emotions attached. The listener's response of choosing between up or down may not elicit a strong emotional reaction from the speaker, leading to a neutral emotional state."
Oh down please.  I-I hate to be a ball buster can I just do it?,Phoebe,joy,positive,28,joy,"The reason for Phoebe's joy in this situation could be her desire to take charge and be assertive in asking to do something herself, which may have been unexpected or amusing to the listener."
Could you press up too please?,Man,neutral,neutral,28,joy,"The emotion of joy in the current utterance may be due to the speaker's polite and considerate behavior of asking if they can also press up, which could have pleased the listener."
Sure! I feel so bad for you. I broke my leg once too.,Phoebe,sadness,negative,28,sadness,The reason for Phoebe feeling sadness could be due to empathy for the speaker's broken leg and a desire to show support and understanding.
Oh yeah? How?d yours happen?,Man,neutral,neutral,28,neutral,"The reason for the neutral emotion in this conversation may be that both the speaker and the listener are discussing a shared experience of breaking a leg, which can create a sense of empathy and understanding between them."
"Well, it?s a long story.",Phoebe,neutral,neutral,28,neutral,"The emotion of neutrality in Phoebe's response may indicate that she is hesitant or unsure about sharing her story, possibly due to the length or complexity of it."
It?s kind of embarrassing.,Phoebe,neutral,neutral,28,embarrassment,The reason for the embarrassment emotion may be due to the speaker feeling hesitant or self-conscious about sharing a potentially embarrassing or awkward story with the listener. The speaker's intention to warn the listener that it's embarrassing and the listener's potential curiosity or sympathy may contribute to the speaker feeling embarrassed.
Let?s just say there was a typographical error with a sex manual.,Phoebe,joy,positive,28,joy,"The reason for the joy emotion could be that Phoebe finds the situation of a typographical error in a sex manual amusing or humorous, and she may be trying to lighten the mood by making a joke about it."
How about you?,Phoebe,neutral,neutral,28,neutral,"The emotion of neutral in the current utterance may be due to the speaker attempting to maintain a casual tone in the conversation, while the listener's possible reactions could be influenced by the speaker's attempt at humor in the previous utterance."
